iter	Passed	Remaining
0	19	7917
1	38	7740
2	58	7804
3	78	7739
4	97	7693
5	114	7551
6	131	7381
7	149	7306
8	165	7184
9	183	7153
10	200	7083
11	216	6996
12	232	6935
13	249	6883
14	266	6845
15	284	6823
16	301	6787
17	317	6742
18	335	6730
19	352	6694
20	369	6664
21	386	6636
22	403	6609
23	421	6608
24	438	6583
25	455	6553
26	473	6538
27	490	6517
28	508	6508
29	526	6490
30	542	6459
31	559	6428
32	575	6403
33	592	6380
34	609	6357
35	627	6340
36	646	6339
37	664	6332
38	682	6316
39	701	6311
40	720	6308
41	741	6322
42	759	6307
43	777	6294
44	797	6288
45	814	6267
46	832	6253
47	849	6232
48	866	6208
49	884	6192
50	903	6185
51	922	6173
52	941	6164
53	959	6148
54	976	6124
55	993	6103
56	1010	6079
57	1027	6058
58	1044	6034
59	1060	6010
60	1077	5987
61	1097	5980
62	1114	5962
63	1131	5941
64	1150	5927
65	1166	5902
66	1182	5879
67	1250	6103
68	1273	6108
69	1299	6126
70	1329	6162
71	1351	6157
72	1368	6129
73	1385	6104
74	1405	6089
75	1422	6065
76	1442	6052
77	1459	6026
78	1476	5999
79	1494	5979
80	1512	5956
81	1529	5931
82	1547	5910
83	1563	5880
84	1579	5852
85	1595	5826
86	1612	5801
87	1628	5774
88	1644	5747
89	1661	5722
90	1677	5697
91	1694	5673
92	1710	5647
93	1727	5623
94	1744	5600
95	1760	5574
96	1776	5549
97	1793	5526
98	1810	5505
99	1826	5480
100	1843	5457
101	1859	5432
102	1875	5408
103	1891	5383
104	1908	5362
105	1924	5338
106	1941	5316
107	1959	5296
108	1976	5275
109	1992	5252
110	2009	5231
111	2025	5208
112	2042	5187
113	2058	5165
114	2075	5144
115	2092	5121
116	2109	5101
117	2125	5079
118	2142	5058
119	2158	5035
120	2174	5013
121	2191	4992
122	2207	4972
123	2223	4949
124	2240	4928
125	2256	4907
126	2273	4887
127	2289	4865
128	2306	4846
129	2323	4824
130	2338	4802
131	2355	4781
132	2371	4760
133	2387	4740
134	2405	4721
135	2421	4701
136	2438	4680
137	2455	4661
138	2471	4641
139	2487	4619
140	2504	4600
141	2521	4580
142	2537	4559
143	2553	4539
144	2570	4520
145	2587	4501
146	2604	4483
147	2621	4462
148	2637	4442
149	2654	4423
150	2670	4404
151	2687	4384
152	2704	4366
153	2721	4346
154	2737	4327
155	2754	4308
156	2771	4288
157	2787	4268
158	2804	4250
159	2820	4230
160	2836	4211
161	2853	4191
162	2869	4172
163	2886	4153
164	2902	4134
165	2919	4114
166	2935	4096
167	2952	4076
168	2969	4058
169	2986	4040
170	3003	4022
171	3019	4002
172	3036	3983
173	3052	3964
174	3069	3946
175	3085	3926
176	3102	3909
177	3119	3890
178	3135	3870
179	3151	3851
180	3167	3832
181	3184	3814
182	3201	3795
183	3217	3776
184	3234	3758
185	3251	3740
186	3267	3721
187	3283	3702
188	3300	3684
189	3317	3666
190	3333	3647
191	3349	3628
192	3365	3610
193	3382	3592
194	3399	3574
195	3416	3556
196	3434	3538
197	3452	3522
198	3468	3503
199	3485	3485
200	3501	3466
201	3518	3448
202	3535	3430
203	3553	3413
204	3569	3395
205	3585	3376
206	3602	3358
207	3618	3339
208	3634	3321
209	3650	3302
210	3666	3284
211	3682	3266
212	3699	3247
213	3715	3229
214	3731	3210
215	3747	3192
216	3764	3174
217	3780	3156
218	3797	3138
219	3815	3121
220	3833	3104
221	3850	3087
222	3867	3069
223	3883	3051
224	3900	3033
225	3917	3016
226	3934	2998
227	3950	2980
228	3966	2962
229	3983	2944
230	4001	2927
231	4017	2909
232	4033	2891
233	4050	2873
234	4065	2854
235	4081	2836
236	4098	2818
237	4115	2801
238	4131	2783
239	4148	2765
240	4164	2747
241	4180	2729
242	4196	2711
243	4214	2694
244	4234	2678
245	4251	2661
246	4267	2643
247	4284	2626
248	4301	2608
249	4317	2590
250	4333	2572
251	4351	2555
252	4368	2538
253	4385	2520
254	4403	2503
255	4421	2487
256	4439	2469
257	4456	2452
258	4473	2435
259	4490	2417
260	4507	2400
261	4524	2382
262	4541	2365
263	4558	2348
264	4574	2330
265	4590	2312
266	4607	2295
267	4623	2277
268	4639	2259
269	4656	2241
270	4672	2224
271	4688	2206
272	4705	2189
273	4722	2171
274	4739	2154
275	4756	2136
276	4772	2119
277	4788	2101
278	4805	2084
279	4821	2066
280	4837	2048
281	4854	2031
282	4871	2013
283	4887	1996
284	4903	1978
285	4920	1961
286	4936	1943
287	4953	1926
288	4969	1908
289	4985	1891
290	5002	1873
291	5018	1856
292	5036	1839
293	5053	1821
294	5070	1804
295	5087	1787
296	5105	1770
297	5122	1753
298	5138	1735
299	5155	1718
300	5171	1700
301	5187	1683
302	5203	1665
303	5220	1648
304	5236	1630
305	5252	1613
306	5269	1596
307	5285	1578
308	5303	1561
309	5321	1544
310	5337	1527
311	5353	1510
312	5370	1492
313	5388	1475
314	5409	1459
315	5426	1442
316	5444	1425
317	5460	1408
318	5477	1390
319	5494	1373
320	5511	1356
321	5527	1339
322	5544	1321
323	5562	1304
324	5578	1287
325	5595	1270
326	5612	1252
327	5628	1235
328	5645	1218
329	5662	1201
330	5679	1183
331	5695	1166
332	5712	1149
333	5729	1132
334	5745	1114
335	5761	1097
336	5778	1080
337	5794	1062
338	5811	1045
339	5827	1028
340	5844	1011
341	5866	994
342	5884	977
343	5901	960
344	5920	943
345	5937	926
346	5954	909
347	5971	892
348	5988	875
349	6006	858
350	6022	840
351	6038	823
352	6056	806
353	6072	789
354	6088	771
355	6104	754
356	6120	737
357	6136	719
358	6152	702
359	6168	685
360	6184	668
361	6201	650
362	6218	633
363	6235	616
364	6251	599
365	6268	582
366	6284	565
367	6300	547
368	6317	530
369	6334	513
370	6351	496
371	6369	479
372	6385	462
373	6401	445
374	6418	427
375	6435	410
376	6453	393
377	6469	376
378	6486	359
379	6503	342
380	6520	325
381	6537	308
382	6554	290
383	6570	273
384	6586	256
385	6603	239
386	6620	222
387	6636	205
388	6653	188
389	6669	171
390	6685	153
391	6701	136
392	6718	119
393	6734	102
394	6750	85
395	6766	68
396	6782	51
397	6799	34
398	6815	17
399	6833	0
